dataset_id,dataset_family,publication_included,configured,publication_completed_row_count,alpha_count,method_label_count,coverage_gated_selected_cell_count,cqr_backend_paired_cell_count,public_card_path,public_card_html_path,claim_role
openml_delta_elevators_se,openml,true,true,2172,1,7,1,7,atlas/datasets/cards/openml_delta_elevators_se.md,atlas/datasets/cards/openml_delta_elevators_se.html,empirical_result_surface
openml_disclosure_x_bias,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_disclosure_x_bias.md,atlas/datasets/cards/openml_disclosure_x_bias.html,empirical_result_surface
openml_disclosure_x_noise,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_disclosure_x_noise.md,atlas/datasets/cards/openml_disclosure_x_noise.html,empirical_result_surface
openml_disclosure_x_tampered,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_disclosure_x_tampered.md,atlas/datasets/cards/openml_disclosure_x_tampered.html,empirical_result_surface
openml_disclosure_z,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_disclosure_z.md,atlas/datasets/cards/openml_disclosure_z.html,empirical_result_surface
openml_faculty_salaries_asst_prof,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_faculty_salaries_asst_prof.md,atlas/datasets/cards/openml_faculty_salaries_asst_prof.html,empirical_result_surface
openml_fishcatch_weight,openml,true,true,3600,1,14,1,7,atlas/datasets/cards/openml_fishcatch_weight.md,atlas/datasets/cards/openml_fishcatch_weight.html,empirical_result_surface
openml_gascons_consumption,openml,true,true,6,1,6,1,0,atlas/datasets/cards/openml_gascons_consumption.md,atlas/datasets/cards/openml_gascons_consumption.html,empirical_result_surface
openml_house_16h_price,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_house_16h_price.md,atlas/datasets/cards/openml_house_16h_price.html,empirical_result_surface
openml_hutsof99_quality,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_hutsof99_quality.md,atlas/datasets/cards/openml_hutsof99_quality.html,empirical_result_surface
openml_icu_loc,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_icu_loc.md,atlas/datasets/cards/openml_icu_loc.html,empirical_result_surface
openml_kin8nm_y,openml,true,true,744,1,7,1,7,atlas/datasets/cards/openml_kin8nm_y.md,atlas/datasets/cards/openml_kin8nm_y.html,empirical_result_surface
openml_mba_grade_gpa,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_mba_grade_gpa.md,atlas/datasets/cards/openml_mba_grade_gpa.html,empirical_result_surface
openml_mba_grade_gpa_dedup,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_mba_grade_gpa_dedup.md,atlas/datasets/cards/openml_mba_grade_gpa_dedup.html,empirical_result_surface
openml_mercury_in_bass,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_mercury_in_bass.md,atlas/datasets/cards/openml_mercury_in_bass.html,empirical_result_surface
openml_mtp2_oz1143,openml,true,true,1778,1,7,1,7,atlas/datasets/cards/openml_mtp2_oz1143.md,atlas/datasets/cards/openml_mtp2_oz1143.html,empirical_result_surface
openml_newton_hema_cells,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_newton_hema_cells.md,atlas/datasets/cards/openml_newton_hema_cells.html,empirical_result_surface
openml_plasma_retinol,openml,true,true,441,1,12,1,6,atlas/datasets/cards/openml_plasma_retinol.md,atlas/datasets/cards/openml_plasma_retinol.html,empirical_result_surface
openml_sensory_score,openml,true,true,3600,1,14,1,7,atlas/datasets/cards/openml_sensory_score.md,atlas/datasets/cards/openml_sensory_score.html,empirical_result_surface
