method_label,method_family,dataset_count,dataset_alpha_cell_count,row_count,balanced_coverage_mean,row_weighted_coverage_mean,frontier_cell_count,negative_evidence_status
venn_abers_split_fallback,venn_abers_or_inductive_distributional_bridge,31,31,7338,0.910623223417,0.91053268417,2,bridge-specific diagnostic evidence; not a rejection of the broader Venn-Abers literature
venn_abers_quantile,venn_abers_or_inductive_distributional_bridge,66,66,7743,0.640778954087,0.650286919106,0,bridge-specific diagnostic evidence; not a rejection of the broader Venn-Abers literature
