dataset_id,dataset_family,target_id,alpha,target_coverage,method_label,canonical_method_id,method_family,base_model_family,n_completed_rows,n_seeds,n_model_configs,n_source_reports,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,coverage_margin_mean,width_mean,width_std,interval_score_mean,interval_score_std,frontier_flag,coverage_eligible_interval_score_selected,undercoverage_flag,claim_status,primary_caveat,source_report_id,source_artifact
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,cv_plus,cv_plus,cross_validation_plus,aggregate,97,3,47,2,0.902359051313,0.00499178523374,0.901365646874,0.903352455751,0.00235905131253,3.09699500223,0.0966261840932,3.84044491368,0.0858379163248,false,false,false,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,mondrian_abs,mondrian_abs,group_stratified_residual,aggregate,97,3,47,2,0.905131253289,0.00346578938617,0.904441534,0.905820972577,0.00513125328864,3.11668071164,0.0710335811462,3.83575404222,0.110884504094,false,false,false,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,normalized_abs,normalized_abs,normalized_residual,aggregate,97,3,47,2,0.902673299164,0.00329047824267,0.902018468169,0.903328130159,0.00267329916395,3.12392998727,0.0912765247621,3.8782204935,0.173085119828,false,false,false,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,split_abs,split_abs,split_conformal,aggregate,97,3,47,2,0.903521037554,0.00240495240602,0.90304243315,0.903999641958,0.00352103755384,3.11559068897,0.0695325756245,3.85275027248,0.111543922321,false,false,false,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,venn_abers_quantile,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,aggregate,97,3,47,2,0.577965135541,0.00382816740651,0.577203300182,0.578726970899,-0.322034864459,1.54207933412,0.033875286455,5.95923527357,0.15241772853,false,false,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
aif360_lawschool_gpa_dedup,aif360,aif360_lawschool_gpa_dedup,0.1,0.9,venn_abers_split_fallback,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,aggregate,94,2,47,1,0.903629389052,0.00239030830324,0.903146167757,0.904112610347,0.003629389052,3.11826315475,0.070451922444,3.8552743818,0.112996455331,false,false,false,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard,college_scorecard_2026_median_earnings,0.1,0.9,cqr,cqr,quantile_conformal,aggregate,309,3,51,3,0.88887041016,0.028415964251,0.885702015816,0.892038804504,-0.01112958984,22267.969448,993.159137192,31878.5180285,4718.33385193,false,false,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard,college_scorecard_2026_median_earnings,0.1,0.9,cv_plus,cv_plus,cross_validation_plus,aggregate,3,3,1,1,0.893846761511,0.0369354594581,0.852050354488,0.935643168534,-0.00615323848919,22112.9938999,650.753690267,34089.5432045,6285.88737085,true,true,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard,college_scorecard_2026_median_earnings,0.1,0.9,mondrian_abs,mondrian_abs,group_stratified_residual,aggregate,309,3,51,3,0.896305253603,0.0455296360971,0.891228676217,0.901381830988,-0.00369474639745,48576.828046,127628.127031,61595.0431815,135451.819791,false,false,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard,college_scorecard_2026_median_earnings,0.1,0.9,normalized_abs,normalized_abs,normalized_residual,aggregate,309,3,51,3,0.887922939352,0.0412951174122,0.883318512936,0.892527365769,-0.0120770606477,33702.5396834,53682.284337,45368.7843064,61230.2283817,false,false,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard,college_scorecard_2026_median_earnings,0.1,0.9,split_abs,split_abs,split_conformal,aggregate,309,3,51,3,0.889595935277,0.0460997284407,0.884455792308,0.894736078246,-0.010404064723,42033.1814781,89011.0287641,56260.6433824,96693.0044529,false,false,true,descriptive_result_only,Row-level dispersion fields are descriptive; they are not audited inferential confidence intervals.,method_performance_synthesis,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
