dataset_id,target_id,alpha,method_label,canonical_method_id,method_family,coverage_mean,coverage_ci_low_raw,coverage_ci_high_raw,clipped_coverage_ci_low,clipped_coverage_ci_high,coverage_ci_clipped,finite_domain_validation_status,width_mean,interval_score_mean,numerical_pathology_flag,numerical_pathology_reason,display_interval_policy,recommended_plot_scale,source_artifact
aif360_lawschool_gpa_dedup,aif360_lawschool_gpa_dedup,0.1,venn_abers_split_fallback,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,0.903629389052,0.903146167757,0.904112610347,0.903146167757,0.904112610347,false,coverage_ci_within_probability_domain,3.11826315475,3.8552743818,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,cqr,cqr,quantile_conformal,0.88887041016,0.885702015816,0.892038804504,0.885702015816,0.892038804504,false,coverage_ci_within_probability_domain,22267.969448,31878.5180285,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,cv_plus,cv_plus,cross_validation_plus,0.893846761511,0.852050354488,0.935643168534,0.852050354488,0.935643168534,false,coverage_ci_within_probability_domain,22112.9938999,34089.5432045,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,mondrian_abs,mondrian_abs,group_stratified_residual,0.896305253603,0.891228676217,0.901381830988,0.891228676217,0.901381830988,false,coverage_ci_within_probability_domain,48576.828046,61595.0431815,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,normalized_abs,normalized_abs,normalized_residual,0.887922939352,0.883318512936,0.892527365769,0.883318512936,0.892527365769,false,coverage_ci_within_probability_domain,33702.5396834,45368.7843064,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,split_abs,split_abs,split_conformal,0.889595935277,0.884455792308,0.894736078246,0.884455792308,0.894736078246,false,coverage_ci_within_probability_domain,42033.1814781,56260.6433824,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,split_tail_0.25,split_tail,split_conformal,0.896258040586,0.892364258498,0.900151822674,0.892364258498,0.900151822674,false,coverage_ci_within_probability_domain,49716.0189316,64303.1362095,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,split_tail_0.50,split_tail,split_conformal,0.877685246542,0.872125389839,0.883245103245,0.872125389839,0.883245103245,false,coverage_ci_within_probability_domain,76461.8045761,91511.4002818,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,split_tail_0.75,split_tail,split_conformal,0.8649306686,0.858164943543,0.871696393656,0.858164943543,0.871696393656,false,coverage_ci_within_probability_domain,295886.059299,310886.628886,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,venn_abers_quantile,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,0.628258903316,0.622452530758,0.634065275873,0.622452530758,0.634065275873,false,coverage_ci_within_probability_domain,23144.955074,60962.6858575,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
